VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
1N4AL11D06C1,1,N,4,A,L,1,1,D,0,6,C,1,1.0000,3.0000,0.0000,35.0000,47.0000,4.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,12.0000,0.0000,6.0000,3.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10071.0000,0.0000,35047.0000,2006.0000,ASL,***,4D,000000000,*,00000000000,1102.0000,0.0000,,2915.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,1.0000,9.0000,20.0000,27.0000,12.0000,1.0000,2.0000
1GNEC13V94J2,1,G,N,E,C,1,3,V,9,4,J,2,1.0000,4.0000,0.0000,20.0000,421.0000,15.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,4.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,14.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10071.0000,0.0000,20421.0000,2004.0000,CTA,***,UT,000000000,*,00000000000,1160.0000,0.0000,,4828.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,1.0000,9.0000,20.0000,27.0000,12.0000,1.0000,2.0000
1FMPU18L0YLB,1,F,M,P,U,1,8,L,0,Y,L,B,1.0000,2.0000,0.0000,12.0000,422.0000,15.0000,18.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,8.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,12.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,2.0000,0.0000,10285.0000,0.0000,12422.0000,2000.0000,EPT,***,UT,000000000,*,00000000000,1191.0000,0.0000,,5401.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,22.0000,1.0000,5.0000,25.0000,0.0000,1.0000
4S2CM58W6X43,4,S,2,C,M,5,8,W,6,X,4,3,1.0000,2.0000,0.0000,38.0000,402.0000,14.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,9.0000,0.0000,6.0000,3.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,13.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10323.0000,0.0000,38402.0000,1999.0000,ROD,***,UT,000000000,*,00000000000,1064.0000,0.0000,,3528.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,30.0000,0.0000,20.0000,14.0000,5.0000,1.0000
1LNLM81W8SY7,1,L,N,L,M,8,1,W,8,S,Y,7,1.0000,3.0000,0.0000,13.0000,1.0000,4.0000,92.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,8.0000,0.0000,6.0000,3.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,14.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10323.0000,0.0000,13001.0000,1995.0000,EXC,***,4D,000000000,*,00000000000,1174.0000,0.0000,,4031.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,30.0000,0.0000,20.0000,14.0000,5.0000,1.0000
1G4CW52K4TH6,1,G,4,C,W,5,2,K,4,T,H,6,1.0000,4.0000,0.0000,18.0000,3.0000,4.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,8.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,14.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10323.0000,0.0000,18003.0000,1996.0000,PKA,***,4D,000000000,*,00000000000,1108.0000,0.0000,,3536.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,5.0000,30.0000,0.0000,20.0000,14.0000,5.0000,1.0000
1GCDS1364681,1,G,C,D,S,1,3,6,4,6,8,1,1.0000,3.0000,3.0000,20.0000,473.0000,30.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,11.0000,0.0000,6.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,13.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10493.0000,0.0000,20473.0000,2006.0000,RDO,CAL,CW,000000000,G,00000000000,1260.0000,0.0000,,,1.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,8.0000,14.0000,11.0000,3.0000,12.0000,5.0000,2.0000
CMWRT115P700,C,M,W,R,T,1,1,5,P,7,0,0,1.0000,2.0000,0.0000,98.0000,998.0000,92.0000,0.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000,9.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,13.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10512.0000,0.0000,98998.0000,2007.0000,999,999,99,000000000,9,00000000000,9999.0000,9999.0000,9999.0000,9999.0000,9.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,9.0000,9.0000,22.0000,2.0000,14.0000,1.0000,1.0000
1N6AD07U56C4,1,N,6,A,D,0,7,U,5,6,C,4,1.0000,3.0000,0.0000,35.0000,472.0000,30.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,9.0000,0.0000,2.0000,2.0000,9.0000,0.0000,0.0000,0.0000,99.0000,8.0000,54.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10534.0000,0.0000,35472.0000,2006.0000,CEO,FRT,CW,000000000,G,00000000000,1259.0000,0.0000,,,1.0000,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,8.0000,14.0000,9.0000,20.0000,12.0000,5.0000,2.0000
1FMZU67E52UD,1,F,M,Z,U,6,7,E,5,2,U,D,1.0000,3.0000,0.0000,12.0000,473.0000,30.0000,1.0000,6.0000,0.0000,0.0000,999.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,11.0000,0.0000,6.0000,2.0000,9.0000,1.0000,0.0000,0.0000,99.0000,8.0000,13.0000,0.0000,99.0000,99.0000,99.0000,99.0000,99.0000,99.0000,17.0000,0.0000,0.0000,3.0000,0.0000,10594.0000,0.0000,12473.0000,2002.0000,EPR,***,UT,000000000,*,00000000000,1259.0000,0.0000,,4120.0000,,0.0000,0.0000,,,,,,,,,,,9.0000,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,99.0000,99.0000,99.0000,,,,10.0000,20.0000,18.0000,45.0000,12.0000,3.0000,2.0000
