County,Population
0500000US01001,55.246
0500000US01003,195.540
0500000US01005,27.076
0500000US01007,22.512
0500000US01009,57.872
0500000US01011,10.639
0500000US01013,20.265
0500000US01015,116.736
0500000US01017,34.162
0500000US01019,26.203
0500000US01021,43.951
0500000US01023,13.426
0500000US01025,25.207
0500000US01027,13.486
0500000US01029,14.994
0500000US01031,50.938
0500000US01033,54.520
0500000US01035,12.887
0500000US01037,10.898
0500000US01039,37.886
0500000US01041,13.986
0500000US01043,80.811
0500000US01045,49.884
0500000US01047,41.996
0500000US01049,71.013
0500000US01051,80.902
0500000US01053,37.983
0500000US01055,103.931
0500000US01057,16.909
0500000US01059,31.532
0500000US01061,26.727
0500000US01063,8.744
0500000US01065,15.406
0500000US01067,17.296
0500000US01069,103.668
0500000US01071,52.951
0500000US01073,659.479
0500000US01075,14.236
0500000US01077,92.797
0500000US01079,33.587
0500000US01081,150.933
0500000US01083,88.845
0500000US01085,10.703
0500000US01087,19.688
0500000US01089,346.892
0500000US01091,20.155
0500000US01093,30.334
0500000US01095,94.760
0500000US01097,414.079
0500000US01099,22.236
0500000US01101,226.659
0500000US01103,119.787
0500000US01105,10.020
0500000US01107,19.401
0500000US01109,33.339
0500000US01111,22.727
0500000US01113,59.585
0500000US01115,86.308
0500000US01117,204.180
0500000US01119,13.361
0500000US01121,81.096
0500000US01123,41.203
0500000US01125,200.821
0500000US01127,65.998
0500000US01129,16.877
0500000US01131,11.307
0500000US01133,24.146
0500000US02013,3.092
0500000US02016,5.511
0500000US02020,300.950
0500000US02050,17.758
0500000US02060,0.960
0500000US02068,1.867
0500000US02070,5.010
0500000US02090,100.436
0500000US02100,2.592
0500000US02105,2.145
0500000US02110,32.660
0500000US02122,57.147
0500000US02130,13.729
0500000US02150,14.135
0500000US02164,1.648
0500000US02170,95.192
0500000US02180,9.892
0500000US02185,9.686
0500000US02188,7.685
0500000US02195,3.774
0500000US02198,5.786
0500000US02220,9.020
0500000US02230,0.995
0500000US02240,6.985
0500000US02261,9.763
0500000US02270,7.977
0500000US02275,2.400
0500000US02282,0.642
0500000US02290,5.695
0500000US04001,71.934
0500000US04003,129.473
0500000US04005,136.539
0500000US04007,53.053
0500000US04009,37.482
0500000US04011,9.049
0500000US04012,20.324
0500000US04013,4009.412
0500000US04015,203.030
0500000US04017,107.322
0500000US04019,996.554
0500000US04021,389.350
0500000US04023,46.768
0500000US04025,215.133
0500000US04027,201.201
0500000US05001,18.777
0500000US05003,21.283
0500000US05005,40.957
0500000US05007,237.297
0500000US05009,37.396
0500000US05011,11.249
0500000US05013,5.241
0500000US05015,27.808
0500000US05017,11.335
0500000US05019,22.743
0500000US05021,15.402
0500000US05023,25.686
0500000US05025,8.593
0500000US05027,24.164
0500000US05029,21.245
0500000US05031,101.488
0500000US05033,61.640
0500000US05035,49.746
0500000US05037,17.548
0500000US05039,7.933
0500000US05041,12.505
0500000US05043,18.785
0500000US05045,119.580
0500000US05047,18.034
0500000US05049,12.304
0500000US05051,97.173
0500000US05053,18.019
0500000US05055,43.097
0500000US05057,22.474
0500000US05059,33.500
0500000US05061,13.581
0500000US05063,36.997
0500000US05065,13.368
0500000US05067,17.615
0500000US05069,73.191
0500000US05071,25.846
0500000US05073,7.252
0500000US05075,17.011
0500000US05077,10.015
0500000US05079,14.031
0500000US05081,12.730
0500000US05083,22.082
0500000US05085,70.753
0500000US05087,15.701
0500000US05089,16.430
0500000US05091,43.402
0500000US05093,44.765
0500000US05095,7.682
0500000US05097,9.226
0500000US05099,8.799
0500000US05101,8.064
0500000US05103,25.002
0500000US05105,10.345
0500000US05107,20.399
0500000US05109,11.177
0500000US05111,24.145
0500000US05113,20.406
0500000US05115,62.547
0500000US05117,8.374
0500000US05119,391.284
0500000US05121,17.692
0500000US05123,27.260
0500000US05125,114.404
0500000US05127,10.950
0500000US05129,8.023
0500000US05131,127.342
0500000US05133,17.366
0500000US05135,17.049
0500000US05137,12.581
0500000US05139,40.694
0500000US05141,16.932
0500000US05143,216.410
0500000US05145,78.483
0500000US05147,7.072
0500000US05149,21.893
0500000US06001,1578.891
0500000US06003,1.159
0500000US06005,36.519
0500000US06007,222.090
0500000US06009,44.515
0500000US06011,21.358
0500000US06013,1094.205
0500000US06015,27.873
0500000US06017,181.737
0500000US06019,955.272
0500000US06021,27.940
0500000US06023,134.493
0500000US06025,176.584
0500000US06027,18.467
0500000US06029,864.124
0500000US06031,150.960
0500000US06033,63.860
0500000US06035,32.163
0500000US06037,10017.068
0500000US06039,152.389
0500000US06041,258.365
0500000US06043,17.755
0500000US06045,87.192
0500000US06047,263.228
0500000US06049,9.147
0500000US06051,14.074
0500000US06053,428.826
0500000US06055,140.326
0500000US06057,98.200
0500000US06059,3114.363
0500000US06061,367.309
0500000US06063,18.859
0500000US06065,2292.507
0500000US06067,1462.131
0500000US06069,57.600
0500000US06071,2088.371
0500000US06073,3211.252
0500000US06075,837.442
0500000US06077,704.379
0500000US06079,276.443
0500000US06081,747.373
0500000US06083,435.697
0500000US06085,1862.041
0500000US06087,269.419
0500000US06089,178.980
0500000US06091,3.047
0500000US06093,43.799
0500000US06095,424.788
0500000US06097,495.025
0500000US06099,525.491
0500000US06101,95.350
0500000US06103,63.057
0500000US06105,13.448
0500000US06107,454.143
0500000US06109,53.874
0500000US06111,839.620
0500000US06113,204.593
0500000US06115,73.340
0500000US08001,469.193
0500000US08003,16.253
0500000US08005,607.070
0500000US08007,12.194
0500000US08009,3.682
0500000US08011,5.688
0500000US08013,310.048
0500000US08014,59.471
0500000US08015,18.510
0500000US08017,1.890
0500000US08019,9.031
0500000US08021,8.277
0500000US08023,3.518
0500000US08025,5.322
0500000US08027,4.285
0500000US08029,30.483
0500000US08031,649.495
0500000US08033,2.029
0500000US08035,305.963
0500000US08037,52.460
0500000US08039,23.733
0500000US08041,655.044
0500000US08043,46.451
0500000US08045,57.302
0500000US08047,5.601
0500000US08049,14.289
0500000US08051,15.507
0500000US08053,0.813
0500000US08055,6.519
0500000US08057,1.365
0500000US08059,551.798
0500000US08061,1.423
0500000US08063,8.037
0500000US08065,7.306
0500000US08067,53.284
0500000US08069,315.988
0500000US08071,14.446
0500000US08073,5.430
0500000US08075,22.450
0500000US08077,147.554
0500000US08079,0.721
0500000US08081,13.103
0500000US08083,25.642
0500000US08085,40.713
0500000US08087,28.404
0500000US08089,18.703
0500000US08091,4.557
0500000US08093,16.121
0500000US08095,4.356
0500000US08097,17.379
0500000US08099,12.291
0500000US08101,161.451
0500000US08103,6.807
0500000US08105,11.803
0500000US08107,23.513
0500000US08109,6.208
0500000US08111,0.692
0500000US08113,7.678
0500000US08115,2.360
0500000US08117,28.649
0500000US08119,23.275
0500000US08121,4.803
0500000US08123,269.785
0500000US08125,10.151
0500000US09001,939.904
0500000US09003,898.272
0500000US09005,186.924
0500000US09007,165.562
0500000US09009,862.287
0500000US09011,274.150
0500000US09013,151.377
0500000US09015,117.604
0500000US10001,169.416
0500000US10003,549.684
0500000US10005,206.649
0500000US11001,646.449
0500000US12001,253.451
0500000US12003,27.013
0500000US12005,174.987
0500000US12007,26.850
0500000US12009,550.823
0500000US12011,1838.844
0500000US12013,14.682
0500000US12015,164.736
0500000US12017,139.271
0500000US12019,196.399
0500000US12021,339.642
0500000US12023,67.543
0500000US12027,34.517
0500000US12029,15.940
0500000US12031,885.855
0500000US12033,305.817
0500000US12035,99.956
0500000US12037,11.598
0500000US12039,46.194
0500000US12041,16.931
0500000US12043,13.345
0500000US12045,15.829
0500000US12047,14.354
0500000US12049,27.519
0500000US12051,37.471
0500000US12053,174.441
0500000US12055,97.616
0500000US12057,1291.578
0500000US12059,19.717
0500000US12061,141.994
0500000US12063,48.922
0500000US12065,14.194
0500000US12067,8.848
0500000US12069,308.034
0500000US12071,661.115
0500000US12073,281.845
0500000US12075,39.644
0500000US12077,8.349
0500000US12079,18.728
0500000US12081,342.106
0500000US12083,337.362
0500000US12085,151.263
0500000US12086,2617.176
0500000US12087,76.351
0500000US12089,75.710
0500000US12091,193.811
0500000US12093,39.330
0500000US12095,1225.267
0500000US12097,298.504
0500000US12099,1372.171
0500000US12101,475.502
0500000US12103,929.048
0500000US12105,623.009
0500000US12107,72.577
0500000US12109,209.647
0500000US12111,286.832
0500000US12113,161.096
0500000US12115,390.429
0500000US12117,436.041
0500000US12119,107.056
0500000US12121,43.734
0500000US12123,22.857
0500000US12125,15.136
0500000US12127,500.800
0500000US12129,31.022
0500000US12131,59.807
0500000US12133,24.624
0500000US13001,18.440
0500000US13003,8.290
0500000US13005,11.216
0500000US13007,3.341
0500000US13009,46.039
0500000US13011,18.415
0500000US13013,71.453
0500000US13015,101.273
0500000US13017,17.515
0500000US13019,19.048
0500000US13021,154.721
0500000US13023,12.771
0500000US13025,18.292
0500000US13027,15.516
0500000US13029,33.157
0500000US13031,71.214
0500000US13033,22.923
0500000US13035,23.361
0500000US13037,6.523
0500000US13039,51.476
0500000US13043,10.937
0500000US13045,112.355
0500000US13047,65.311
0500000US13049,13.255
0500000US13051,278.434
0500000US13053,12.842
0500000US13055,25.138
0500000US13057,225.106
0500000US13059,121.265
0500000US13061,3.045
0500000US13063,264.220
0500000US13065,6.795
0500000US13067,717.190
0500000US13069,43.220
0500000US13071,46.275
0500000US13073,135.416
0500000US13075,17.066
0500000US13077,133.180
0500000US13079,12.504
0500000US13081,23.336
0500000US13083,16.507
0500000US13085,22.686
0500000US13087,27.359
