,State,FIPS_State,FIPS_County,County,County_State
0,AL,01,001,Autauga County,"Autauga County, AL"
1,AL,01,003,Baldwin County,"Baldwin County, AL"
2,AL,01,005,Barbour County,"Barbour County, AL"
3,AL,01,007,Bibb County,"Bibb County, AL"
4,AL,01,009,Blount County,"Blount County, AL"
5,AL,01,011,Bullock County,"Bullock County, AL"
6,AL,01,013,Butler County,"Butler County, AL"
7,AL,01,015,Calhoun County,"Calhoun County, AL"
8,AL,01,017,Chambers County,"Chambers County, AL"
9,AL,01,019,Cherokee County,"Cherokee County, AL"
10,AL,01,021,Chilton County,"Chilton County, AL"
11,AL,01,023,Choctaw County,"Choctaw County, AL"
12,AL,01,025,Clarke County,"Clarke County, AL"
13,AL,01,027,Clay County,"Clay County, AL"
14,AL,01,029,Cleburne County,"Cleburne County, AL"
15,AL,01,031,Coffee County,"Coffee County, AL"
16,AL,01,033,Colbert County,"Colbert County, AL"
17,AL,01,035,Conecuh County,"Conecuh County, AL"
18,AL,01,037,Coosa County,"Coosa County, AL"
19,AL,01,039,Covington County,"Covington County, AL"
20,AL,01,041,Crenshaw County,"Crenshaw County, AL"
21,AL,01,043,Cullman County,"Cullman County, AL"
22,AL,01,045,Dale County,"Dale County, AL"
23,AL,01,047,Dallas County,"Dallas County, AL"
24,AL,01,049,DeKalb County,"DeKalb County, AL"
25,AL,01,051,Elmore County,"Elmore County, AL"
26,AL,01,053,Escambia County,"Escambia County, AL"
27,AL,01,055,Etowah County,"Etowah County, AL"
28,AL,01,057,Fayette County,"Fayette County, AL"
29,AL,01,059,Franklin County,"Franklin County, AL"
30,AL,01,061,Geneva County,"Geneva County, AL"
31,AL,01,063,Greene County,"Greene County, AL"
32,AL,01,065,Hale County,"Hale County, AL"
33,AL,01,067,Henry County,"Henry County, AL"
34,AL,01,069,Houston County,"Houston County, AL"
35,AL,01,071,Jackson County,"Jackson County, AL"
36,AL,01,073,Jefferson County,"Jefferson County, AL"
37,AL,01,075,Lamar County,"Lamar County, AL"
38,AL,01,077,Lauderdale County,"Lauderdale County, AL"
39,AL,01,079,Lawrence County,"Lawrence County, AL"
40,AL,01,081,Lee County,"Lee County, AL"
41,AL,01,083,Limestone County,"Limestone County, AL"
42,AL,01,085,Lowndes County,"Lowndes County, AL"
43,AL,01,087,Macon County,"Macon County, AL"
44,AL,01,089,Madison County,"Madison County, AL"
45,AL,01,091,Marengo County,"Marengo County, AL"
46,AL,01,093,Marion County,"Marion County, AL"
47,AL,01,095,Marshall County,"Marshall County, AL"
48,AL,01,097,Mobile County,"Mobile County, AL"
49,AL,01,099,Monroe County,"Monroe County, AL"
50,AL,01,101,Montgomery County,"Montgomery County, AL"
51,AL,01,103,Morgan County,"Morgan County, AL"
52,AL,01,105,Perry County,"Perry County, AL"
53,AL,01,107,Pickens County,"Pickens County, AL"
54,AL,01,109,Pike County,"Pike County, AL"
55,AL,01,111,Randolph County,"Randolph County, AL"
56,AL,01,113,Russell County,"Russell County, AL"
57,AL,01,115,St. Clair County,"St. Clair County, AL"
58,AL,01,117,Shelby County,"Shelby County, AL"
59,AL,01,119,Sumter County,"Sumter County, AL"
60,AL,01,121,Talladega County,"Talladega County, AL"
61,AL,01,123,Tallapoosa County,"Tallapoosa County, AL"
62,AL,01,125,Tuscaloosa County,"Tuscaloosa County, AL"
63,AL,01,127,Walker County,"Walker County, AL"
64,AL,01,129,Washington County,"Washington County, AL"
65,AL,01,131,Wilcox County,"Wilcox County, AL"
66,AL,01,133,Winston County,"Winston County, AL"
67,AK,02,013,Aleutians East Borough,"Aleutians East Borough, AK"
68,AK,02,016,Aleutians West Census Area,"Aleutians West Census Area, AK"
69,AK,02,020,Anchorage Municipality,"Anchorage Municipality, AK"
70,AK,02,050,Bethel Census Area,"Bethel Census Area, AK"
71,AK,02,060,Bristol Bay Borough,"Bristol Bay Borough, AK"
72,AK,02,068,Denali Borough,"Denali Borough, AK"
73,AK,02,070,Dillingham Census Area,"Dillingham Census Area, AK"
74,AK,02,090,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK"
75,AK,02,100,Haines Borough,"Haines Borough, AK"
76,AK,02,105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, AK"
77,AK,02,110,Juneau City and Borough,"Juneau City and Borough, AK"
78,AK,02,122,Kenai Peninsula Borough,"Kenai Peninsula Borough, AK"
79,AK,02,130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, AK"
80,AK,02,150,Kodiak Island Borough,"Kodiak Island Borough, AK"
81,AK,02,164,Lake and Peninsula Borough,"Lake and Peninsula Borough, AK"
82,AK,02,170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, AK"
83,AK,02,180,Nome Census Area,"Nome Census Area, AK"
84,AK,02,185,North Slope Borough,"North Slope Borough, AK"
85,AK,02,188,Northwest Arctic Borough,"Northwest Arctic Borough, AK"
86,AK,02,195,Petersburg Census Area,"Petersburg Census Area, AK"
87,AK,02,198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, AK"
88,AK,02,220,Sitka City and Borough,"Sitka City and Borough, AK"
89,AK,02,230,Skagway Municipality,"Skagway Municipality, AK"
90,AK,02,240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, AK"
91,AK,02,261,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, AK"
92,AK,02,270,Wade Hampton Census Area,"Wade Hampton Census Area, AK"
93,AK,02,275,Wrangell City and Borough,"Wrangell City and Borough, AK"
94,AK,02,282,Yakutat City and Borough,"Yakutat City and Borough, AK"
95,AK,02,290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, AK"
96,AZ,04,001,Apache County,"Apache County, AZ"
97,AZ,04,003,Cochise County,"Cochise County, AZ"
98,AZ,04,005,Coconino County,"Coconino County, AZ"
99,AZ,04,007,Gila County,"Gila County, AZ"
100,AZ,04,009,Graham County,"Graham County, AZ"
101,AZ,04,011,Greenlee County,"Greenlee County, AZ"
102,AZ,04,012,La Paz County,"La Paz County, AZ"
103,AZ,04,013,Maricopa County,"Maricopa County, AZ"
104,AZ,04,015,Mohave County,"Mohave County, AZ"
105,AZ,04,017,Navajo County,"Navajo County, AZ"
106,AZ,04,019,Pima County,"Pima County, AZ"
