FIPS,County,State
0500000US01001,Autauga, AL
0500000US01003,Baldwin, AL
0500000US01005,Barbour, AL
0500000US01007,Bibb, AL
0500000US01009,Blount, AL
0500000US01011,Bullock, AL
0500000US01013,Butler, AL
0500000US01015,Calhoun, AL
0500000US01017,Chambers, AL
0500000US01019,Cherokee, AL
0500000US01021,Chilton, AL
0500000US01023,Choctaw, AL
0500000US01025,Clarke, AL
0500000US01027,Clay, AL
0500000US01029,Cleburne, AL
0500000US01031,Coffee, AL
0500000US01033,Colbert, AL
0500000US01035,Conecuh, AL
0500000US01037,Coosa, AL
0500000US01039,Covington, AL
0500000US01041,Crenshaw, AL
0500000US01043,Cullman, AL
0500000US01045,Dale, AL
0500000US01047,Dallas, AL
0500000US01049,DeKalb, AL
0500000US01051,Elmore, AL
0500000US01053,Escambia, AL
0500000US01055,Etowah, AL
0500000US01057,Fayette, AL
0500000US01059,Franklin, AL
0500000US01061,Geneva, AL
0500000US01063,Greene, AL
0500000US01065,Hale, AL
0500000US01067,Henry, AL
0500000US01069,Houston, AL
0500000US01071,Jackson, AL
0500000US01073,Jefferson, AL
0500000US01075,Lamar, AL
0500000US01077,Lauderdale, AL
0500000US01079,Lawrence, AL
0500000US01081,Lee, AL
0500000US01083,Limestone, AL
0500000US01085,Lowndes, AL
0500000US01087,Macon, AL
0500000US01089,Madison, AL
0500000US01091,Marengo, AL
0500000US01093,Marion, AL
0500000US01095,Marshall, AL
0500000US01097,Mobile, AL
0500000US01099,Monroe, AL
0500000US01101,Montgomery, AL
0500000US01103,Morgan, AL
0500000US01105,Perry, AL
0500000US01107,Pickens, AL
0500000US01109,Pike, AL
0500000US01111,Randolph, AL
0500000US01113,Russell, AL
0500000US01115,St. Clair, AL
0500000US01117,Shelby, AL
0500000US01119,Sumter, AL
0500000US01121,Talladega, AL
0500000US01123,Tallapoosa, AL
0500000US01125,Tuscaloosa, AL
0500000US01127,Walker, AL
0500000US01129,Washington, AL
0500000US01131,Wilcox, AL
0500000US01133,Winston, AL
0500000US02013,Aleutians East, AK
0500000US02016,Aleutians West, AK
0500000US02020,Anchorage, AK
0500000US02050,Bethel, AK
0500000US02060,Bristol Bay, AK
0500000US02068,Denali, AK
0500000US02070,Dillingham, AK
0500000US02090,Fairbanks North Star, AK
0500000US02100,Haines, AK
0500000US02110,Juneau, AK
0500000US02122,Kenai Peninsula, AK
0500000US02130,Ketchikan Gateway, AK
0500000US02150,Kodiak Island, AK
0500000US02164,Lake and Peninsula, AK
0500000US02170,Matanuska-Susitna, AK
0500000US02180,Nome, AK
0500000US02185,North Slope, AK
0500000US02188,Northwest Arctic, AK
0500000US02201,Prince of Wales-Outer Ketchikan, AK
0500000US02220,Sitka, AK
0500000US02232,Skagway-Hoonah-Angoon, AK
0500000US02240,Southeast Fairbanks, AK
0500000US02261,Valdez-Cordova, AK
0500000US02270,Wade Hampton, AK
0500000US02280,Wrangell-Petersburg, AK
0500000US02282,Yakutat, AK
0500000US02290,Yukon-Koyukuk, AK
0500000US04001,Apache, AZ
0500000US04003,Cochise, AZ
0500000US04005,Coconino, AZ
0500000US04007,Gila, AZ
0500000US04009,Graham, AZ
0500000US04011,Greenlee, AZ
0500000US04012,La Paz, AZ
0500000US04013,Maricopa, AZ
0500000US04015,Mohave, AZ
0500000US04017,Navajo, AZ
0500000US04019,Pima, AZ
0500000US04021,Pinal, AZ
0500000US04023,Santa Cruz, AZ
0500000US04025,Yavapai, AZ
0500000US04027,Yuma, AZ
0500000US05001,Arkansas, AR
0500000US05003,Ashley, AR
0500000US05005,Baxter, AR
0500000US05007,Benton, AR
0500000US05009,Boone, AR
0500000US05011,Bradley, AR
0500000US05013,Calhoun, AR
0500000US05015,Carroll, AR
0500000US05017,Chicot, AR
0500000US05019,Clark, AR
0500000US05021,Clay, AR
0500000US05023,Cleburne, AR
0500000US05025,Cleveland, AR
0500000US05027,Columbia, AR
0500000US05029,Conway, AR
0500000US05031,Craighead, AR
0500000US05033,Crawford, AR
0500000US05035,Crittenden, AR
0500000US05037,Cross, AR
0500000US05039,Dallas, AR
0500000US05041,Desha, AR
0500000US05043,Drew, AR
0500000US05045,Faulkner, AR
0500000US05047,Franklin, AR
0500000US05049,Fulton, AR
0500000US05051,Garland, AR
0500000US05053,Grant, AR
0500000US05055,Greene, AR
0500000US05057,Hempstead, AR
0500000US05059,Hot Spring, AR
0500000US05061,Howard, AR
0500000US05063,Independence, AR
0500000US05065,Izard, AR
0500000US05067,Jackson, AR
0500000US05069,Jefferson, AR
0500000US05071,Johnson, AR
0500000US05073,Lafayette, AR
0500000US05075,Lawrence, AR
0500000US05077,Lee, AR
0500000US05079,Lincoln, AR
0500000US05081,Little River, AR
0500000US05083,Logan, AR
0500000US05085,Lonoke, AR
0500000US05087,Madison, AR
0500000US05089,Marion, AR
0500000US05091,Miller, AR
0500000US05093,Mississippi, AR
0500000US05095,Monroe, AR
0500000US05097,Montgomery, AR
0500000US05099,Nevada, AR
0500000US05101,Newton, AR
0500000US05103,Ouachita, AR
0500000US05105,Perry, AR
0500000US05107,Phillips, AR
0500000US05109,Pike, AR
0500000US05111,Poinsett, AR
0500000US05113,Polk, AR
0500000US05115,Pope, AR
0500000US05117,Prairie, AR
0500000US05119,Pulaski, AR
0500000US05121,Randolph, AR
0500000US05123,St. Francis, AR
0500000US05125,Saline, AR
0500000US05127,Scott, AR
0500000US05129,Searcy, AR
0500000US05131,Sebastian, AR
0500000US05133,Sevier, AR
0500000US05135,Sharp, AR
0500000US05137,Stone, AR
0500000US05139,Union, AR
0500000US05141,Van Buren, AR
0500000US05143,Washington, AR
0500000US05145,White, AR
0500000US05147,Woodruff, AR
0500000US05149,Yell, AR
0500000US06001,Alameda, CA
0500000US06003,Alpine, CA
0500000US06005,Amador, CA
0500000US06007,Butte, CA
0500000US06009,Calaveras, CA
0500000US06011,Colusa, CA
0500000US06013,Contra Costa, CA
0500000US06015,Del Norte, CA
0500000US06017,El Dorado, CA
0500000US06019,Fresno, CA
0500000US06021,Glenn, CA
0500000US06023,Humboldt, CA
0500000US06025,Imperial, CA
0500000US06027,Inyo, CA
0500000US06029,Kern, CA
0500000US06031,Kings, CA
0500000US06033,Lake, CA
0500000US06035,Lassen, CA
0500000US06037,Los Angeles, CA
0500000US06039,Madera, CA
0500000US06041,Marin, CA
0500000US06043,Mariposa, CA
0500000US06045,Mendocino, CA
0500000US06047,Merced, CA
0500000US06049,Modoc, CA
0500000US06051,Mono, CA
0500000US06053,Monterey, CA
0500000US06055,Napa, CA
0500000US06057,Nevada, CA
0500000US06059,Orange, CA
0500000US06061,Placer, CA
0500000US06063,Plumas, CA
0500000US06065,Riverside, CA
0500000US06067,Sacramento, CA
0500000US06069,San Benito, CA
0500000US06071,San Bernardino, CA
0500000US06073,San Diego, CA
0500000US06075,San Francisco, CA
0500000US06077,San Joaquin, CA
0500000US06079,San Luis Obispo, CA
0500000US06081,San Mateo, CA
0500000US06083,Santa Barbara, CA
0500000US06085,Santa Clara, CA
0500000US06087,Santa Cruz, CA
0500000US06089,Shasta, CA
0500000US06091,Sierra, CA
0500000US06093,Siskiyou, CA
0500000US06095,Solano, CA
0500000US06097,Sonoma, CA
0500000US06099,Stanislaus, CA
0500000US06101,Sutter, CA
0500000US06103,Tehama, CA
0500000US06105,Trinity, CA
0500000US06107,Tulare, CA
0500000US06109,Tuolumne, CA
0500000US06111,Ventura, CA
0500000US06113,Yolo, CA
0500000US06115,Yuba, CA
0500000US08001,Adams, CO
0500000US08003,Alamosa, CO
0500000US08005,Arapahoe, CO
0500000US08007,Archuleta, CO
0500000US08009,Baca, CO
0500000US08011,Bent, CO
0500000US08013,Boulder, CO
0500000US08014,Broomfield, CO
0500000US08015,Chaffee, CO
0500000US08017,Cheyenne, CO
0500000US08019,Clear Creek, CO
0500000US08021,Conejos, CO
0500000US08023,Costilla, CO
0500000US08025,Crowley, CO
0500000US08027,Custer, CO
0500000US08029,Delta, CO
0500000US08031,Denver, CO
0500000US08033,Dolores, CO
0500000US08035,Douglas, CO
0500000US08037,Eagle, CO
0500000US08039,Elbert, CO
0500000US08041,El Paso, CO
0500000US08043,Fremont, CO
0500000US08045,Garfield, CO
0500000US08047,Gilpin, CO
0500000US08049,Grand, CO
0500000US08051,Gunnison, CO
0500000US08053,Hinsdale, CO
0500000US08055,Huerfano, CO
0500000US08057,Jackson, CO
0500000US08059,Jefferson, CO
0500000US08061,Kiowa, CO
0500000US08063,Kit Carson, CO
0500000US08065,Lake, CO
0500000US08067,La Plata, CO
0500000US08069,Larimer, CO
0500000US08071,Las Animas, CO
0500000US08073,Lincoln, CO
0500000US08075,Logan, CO
0500000US08077,Mesa, CO
0500000US08079,Mineral, CO
0500000US08081,Moffat, CO
0500000US08083,Montezuma, CO
0500000US08085,Montrose, CO
0500000US08087,Morgan, CO
0500000US08089,Otero, CO
0500000US08091,Ouray, CO
0500000US08093,Park, CO
0500000US08095,Phillips, CO
0500000US08097,Pitkin, CO
0500000US08099,Prowers, CO
0500000US08101,Pueblo, CO
0500000US08103,Rio Blanco, CO
0500000US08105,Rio Grande, CO
0500000US08107,Routt, CO
0500000US08109,Saguache, CO
0500000US08111,San Juan, CO
0500000US08113,San Miguel, CO
0500000US08115,Sedgwick, CO
0500000US08117,Summit, CO
0500000US08119,Teller, CO
0500000US08121,Washington, CO
0500000US08123,Weld, CO
0500000US08125,Yuma, CO
0500000US09001,Fairfield, CT
0500000US09003,Hartford, CT
0500000US09005,Litchfield, CT
0500000US09007,Middlesex, CT
0500000US09009,New Haven, CT
0500000US09011,New London, CT
0500000US09013,Tolland, CT
0500000US09015,Windham, CT
0500000US10001,Kent, DE
0500000US10003,New Castle, DE
0500000US10005,Sussex, DE
0500000US11001,District of Columbia, DC
0500000US12001,Alachua, FL
0500000US12003,Baker, FL
0500000US12005,Bay, FL
0500000US12007,Bradford, FL
0500000US12009,Brevard, FL
0500000US12011,Broward, FL
0500000US12013,Calhoun, FL
0500000US12015,Charlotte, FL
0500000US12017,Citrus, FL
0500000US12019,Clay, FL
0500000US12021,Collier, FL
0500000US12023,Columbia, FL
0500000US12027,DeSoto, FL
0500000US12029,Dixie, FL
0500000US12031,Duval, FL
0500000US12033,Escambia, FL
0500000US12035,Flagler, FL
0500000US12037,Franklin, FL
0500000US12039,Gadsden, FL
0500000US12041,Gilchrist, FL
0500000US12043,Glades, FL
