STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,WEATHER,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD
1,115,1,1,12,30,1,1,0,0,0,1,12,41,0,0,0,0,1,1,1,10001,2006,33.53780278,-86.3198
1,3,1,1,17,50,1,1,0,1,0,2,6,10,0,0,0,0,1,1,0,10002,2006,30.63305556,-87.64221944
1,69,1,1,1,40,2,2,0,1,8,2,2,5,0,0,0,0,1,1,1,10003,2006,31.13435,-85.12185556
1,73,1,5,16,15,2,4,0,1,3,1,16,35,1,0,0,0,1,5,0,10004,2006,33.60219444,-86.80754167
1,119,1,1,2,15,2,4,0,0,8,1,2,54,0,0,0,0,1,1,2,10005,2006,32.9043,-88.29932222
1,49,1,7,11,5,3,3,0,0,4,1,11,17,0,0,0,0,1,7,0,10006,2006,34.33470833,-86.04853333
1,81,1,5,4,15,2,2,0,0,5,1,4,35,0,0,0,0,1,5,0,10007,2006,32.56536111,-85.35652778
1,59,1,1,14,30,1,1,0,0,0,1,14,47,0,0,0,0,1,1,0,10008,2006,34.32786111,-87.91667778
1,113,1,5,11,39,4,5,0,1,3,1,11,53,0,14,0,0,2,5,0,10009,2006,32.50181111,-85.01055556
1,17,1,1,2,50,1,1,0,1,0,1,3,11,0,0,0,0,1,1,1,10010,2006,32.95144167,-85.40323056
1,97,1,1,3,56,1,3,0,0,0,5,99,99,0,0,0,0,1,1,2,10011,2006,30.68635833,-88.0537
1,103,1,2,12,40,1,1,0,0,0,1,12,45,0,19,0,0,1,2,1,10012,2006,34.41350556,-86.95206944
1,73,1,3,17,5,3,3,1,1,1,1,17,11,0,0,0,0,1,3,0,10013,2006,33.50821667,-86.88253611
1,23,1,7,14,15,1,1,0,0,0,1,14,44,0,0,0,0,1,7,1,10014,2006,32.20405833,-88.34763056
1,25,1,7,2,0,1,1,0,0,0,1,3,45,0,0,0,0,1,7,1,10015,2006,31.54205556,-87.90826111
1,43,1,8,15,50,1,1,0,0,0,1,16,5,0,0,0,0,1,1,0,10016,2006,34.06988056,-86.72690833
1,129,1,3,17,16,1,2,1,1,0,1,17,29,0,0,0,0,1,3,0,10017,2006,31.51315556,-87.94919167
1,83,1,8,15,0,1,3,1,0,0,1,15,12,0,0,0,0,1,1,0,10018,2006,34.84570278,-86.92974167
1,73,1,8,21,30,1,2,0,0,0,1,21,46,0,0,0,0,1,1,0,10019,2006,33.27662222,-87.06813611
1,89,1,8,13,0,2,4,0,0,5,1,13,12,0,0,0,0,1,1,0,10020,2006,34.99194167,-86.72171667
1,129,1,8,4,30,1,1,0,0,0,1,5,3,0,0,0,0,1,1,1,10021,2006,31.28151667,-88.10195
1,81,1,8,14,15,5,5,0,1,1,1,14,24,0,0,0,0,1,1,0,10022,2006,32.60600278,-85.42606667
1,49,1,3,9,55,2,3,0,0,4,1,10,10,0,0,0,0,1,3,0,10023,2006,34.48301667,-85.81993056
1,95,1,12,18,35,1,2,0,0,0,1,19,2,0,0,0,0,1,5,0,10024,2006,34.51025833,-86.26597222
1,85,1,4,16,5,2,3,0,1,4,1,16,20,0,0,0,0,1,4,1,10025,2006,32.26954444,-86.53620278
1,69,1,12,0,1,1,1,0,0,0,1,0,40,0,0,0,0,1,5,1,10026,2006,31.18366111,-85.44759722
1,127,1,12,5,21,1,2,1,0,0,1,5,25,0,0,0,0,1,5,0,10027,2006,33.82633056,-87.23358611
1,69,1,13,17,45,2,4,0,0,5,1,18,12,0,0,0,0,2,6,1,10028,2006,31.28711944,-85.22169444
1,133,1,13,16,15,2,2,0,1,5,2,16,34,0,0,0,0,1,6,0,10029,2006,34.16142778,-87.60866667
1,55,1,13,12,5,1,1,0,0,0,1,12,9,0,0,0,0,1,6,0,10030,2006,34.12920556,-85.94195833
1,73,1,14,20,5,2,4,0,0,5,1,20,20,0,0,0,0,1,7,0,10031,2006,33.4339,-86.87487222
1,1,1,14,0,1,1,1,0,0,0,1,0,15,0,0,0,0,1,7,1,10032,2006,32.57567222,-86.47346944
1,9,1,14,6,0,1,1,0,0,0,1,9,40,0,0,0,0,1,7,1,10033,2006,33.88280833,-86.82507778
1,19,1,17,22,20,1,1,0,1,0,2,22,41,0,0,0,0,1,3,1,10034,2006,34.28784722,-85.579725
1,73,1,18,15,53,1,4,0,1,0,1,16,0,0,0,0,0,1,4,0,10035,2006,33.53275278,-86.79876111
1,125,1,17,1,15,2,2,0,1,1,1,1,32,0,0,0,0,1,3,0,10036,2006,33.24883333,-87.13699722
1,89,1,16,12,22,2,3,0,1,5,1,12,27,0,0,0,0,1,2,0,10037,2006,34.77111111,-86.58595278
1,97,1,17,17,39,2,3,0,1,2,1,18,10,0,0,0,0,1,3,0,10038,2006,30.77496111,-88.13967778
1,97,1,18,15,45,2,6,0,1,3,1,16,0,0,0,0,0,1,4,0,10039,2006,30.53783056,-88.24001667
1,73,1,9,23,40,2,2,0,1,0,1,11,45,0,0,0,0,1,2,0,10040,2006,33.64226944,-86.61559444
1,73,1,18,23,50,1,2,1,1,0,1,0,1,0,0,0,0,1,4,0,10041,2006,33.53492222,-86.79626111
1,127,1,19,14,55,2,3,0,1,5,1,15,5,0,0,0,0,1,5,0,10042,2006,33.80142778,-87.11705
1,81,1,19,14,18,1,1,0,0,0,1,14,27,0,0,0,0,1,5,0,10043,2006,32.57240833,-85.49727778
1,121,1,9,5,40,2,3,0,0,0,1,99,99,0,14,0,0,1,2,0,10044,2006,33.37855278,-86.32763056
1,15,1,20,5,10,1,2,0,0,0,1,5,41,0,0,0,0,1,6,0,10045,2006,33.78971111,-85.66020278
1,13,1,20,21,24,1,2,0,0,0,1,21,29,0,0,0,0,1,6,0,10046,2006,31.84663333,-86.61748056
1,105,1,20,1,25,1,4,0,0,0,1,2,4,0,0,0,0,2,6,0,10047,2006,32.54283889,-87.18294444
1,47,1,20,10,5,1,1,0,0,0,2,10,26,0,0,0,0,1,6,0,10048,2006,32.43423056,-86.91844722
1,107,1,9,13,30,2,2,0,0,2,1,14,10,0,0,0,0,1,2,0,10049,2006,33.48773611,-88.26932222
1,71,1,21,13,42,1,1,0,0,0,1,13,48,0,0,0,0,1,7,0,10050,2006,34.68074444,-86.330225
1,91,1,23,13,48,2,2,0,1,2,1,0,0,0,0,0,0,2,2,0,10051,2006,32.02195,-87.77286944
1,127,1,21,12,30,1,2,0,0,0,2,12,40,0,0,0,0,1,7,0,10052,2006,33.83256667,-87.16841667
