STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,WEATHER
1,127,1,2,18,15,2,2,0,1,5,18,50,0,0,0,0,1,6,0,10001,2009,33.8051,-87.1335,1
1,3,1,1,20,0,1,2,1,0,0,20,7,0,0,0,0,1,5,0,10002,2009,30.6039,-87.8648,1
1,15,1,1,15,59,2,3,0,0,2,16,9,0,0,0,0,2,5,0,10003,2009,33.6931,-85.6766,1
1,69,1,3,8,40,2,3,0,0,5,9,5,0,0,0,0,1,7,0,10004,2009,31.2656,-85.6235,1
1,77,1,3,0,5,1,1,0,0,0,0,30,0,0,0,0,1,7,1,10005,2009,34.9895,-87.2258,5
1,9,1,6,14,50,2,2,0,0,5,15,5,0,0,0,0,1,3,0,10006,2009,33.9433,-86.4171,2
1,75,1,7,5,30,1,1,0,0,0,5,38,0,0,0,0,1,4,0,10007,2009,33.8034,-88.1171,2
1,15,1,7,19,50,1,2,1,0,0,20,10,0,0,0,0,1,4,0,10008,2009,33.6415,-85.8851,1
1,125,1,8,17,48,1,1,0,0,0,17,45,0,0,0,0,1,5,1,10009,2009,33.1424,-87.4451,1
1,97,1,9,21,30,2,6,0,1,1,21,40,0,0,0,0,3,6,1,10010,2009,30.9829,-88.2389,1
1,61,1,13,9,5,1,1,0,0,0,9,29,0,0,0,0,1,3,0,10011,2009,31.1786,-85.8267,1
1,21,1,15,14,45,1,3,0,0,0,2,50,0,0,0,0,1,5,1,10012,2009,32.8167,-86.6732,1
1,101,1,15,19,58,2,2,0,1,5,20,8,0,0,0,0,1,5,0,10013,2009,32.3234,-86.2383,1
1,9,1,17,15,0,1,1,0,0,0,15,20,0,0,0,0,1,7,1,10014,2009,34.2277,-86.5194,1
1,99,1,21,22,45,1,2,0,0,0,23,22,0,0,0,0,1,4,1,10015,2009,31.2585,-87.6218,1
1,109,1,21,10,10,2,3,0,1,0,10,30,0,0,0,0,1,4,1,10016,2009,31.9023,-86.0116,1
1,85,1,22,8,38,2,5,0,1,5,8,55,0,0,0,0,2,5,0,10017,2009,32.2703,-86.513,1
1,103,1,1,0,54,1,2,0,0,0,0,55,0,20,0,0,1,5,1,10018,2009,34.6081,-86.9793,1
1,97,1,14,17,40,2,2,0,0,2,17,55,0,0,0,0,1,4,0,10019,2009,30.4536,-88.241,1
1,103,1,21,22,37,1,1,0,0,0,22,40,0,0,0,0,1,4,1,10020,2009,34.5389,-86.9149,1
1,25,1,25,13,45,2,2,0,0,5,14,23,0,0,0,0,1,1,0,10021,2009,31.7469,-87.9262,1
1,59,1,26,13,30,1,1,0,1,0,13,40,0,0,0,0,1,2,0,10022,2009,34.3182,-87.6961,1
1,73,1,2,12,37,2,3,0,0,5,12,45,0,0,0,0,1,6,0,10023,2009,33.3763,-86.805,1
1,73,1,13,10,25,2,4,0,0,5,10,27,0,0,0,0,1,3,0,10024,2009,33.6122,-86.6876,1
1,73,1,16,16,50,4,8,0,0,5,16,57,0,0,0,0,1,6,0,10025,2009,33.654,-86.6405,1
1,125,1,12,14,35,3,3,0,0,1,15,0,0,0,0,0,1,2,0,10026,2009,33.2883,-87.1959,1
1,89,1,9,20,3,1,1,0,0,0,20,15,0,0,0,0,1,6,1,10027,2009,34.7419,-86.554,1
1,49,1,19,9,34,1,1,0,0,0,9,40,0,0,0,0,1,2,0,10028,2009,34.2629,-85.8595,1
1,97,1,4,15,0,2,4,1,0,1,15,15,0,0,0,0,1,1,0,10029,2009,30.5889,-88.2074,1
1,3,1,17,1,15,2,4,0,1,1,1,23,0,0,0,0,1,7,2,10030,2009,30.6581,-87.8175,1
1,125,1,22,5,59,3,3,0,1,5,6,3,0,0,0,0,1,5,0,10031,2009,33.2391,-87.5766,1
1,97,1,24,4,15,1,2,0,1,0,4,27,0,0,0,0,2,7,1,10032,2009,30.6762,-88.1302,1
1,97,1,27,10,0,2,4,0,0,5,10,3,0,0,0,0,1,3,1,10033,2009,30.687,-88.2111,1
1,97,1,4,16,37,1,1,0,1,0,16,40,0,0,0,0,1,1,1,10034,2009,30.6418,-88.088,1
1,3,1,5,18,57,1,2,1,0,0,19,2,0,0,0,0,1,2,0,10035,2009,30.2672,-87.597,1
1,97,1,19,19,7,2,2,0,0,5,19,14,0,0,0,0,1,2,0,10036,2009,30.6606,-88.1089,1
1,97,2,4,5,38,1,2,1,0,0,5,43,0,0,0,0,1,4,0,10038,2009,30.6083,-88.0749,1
1,89,1,29,6,5,2,2,0,0,5,6,15,0,0,0,0,1,5,0,10039,2009,34.779,-86.6729,1
1,125,1,29,11,24,2,3,0,1,5,11,29,0,0,0,0,1,5,0,10040,2009,33.2654,-87.6026,1
1,97,1,30,1,21,1,1,0,0,0,1,25,0,0,0,0,1,6,1,10041,2009,30.7293,-88.1614,1
1,123,2,1,13,30,2,3,0,0,2,13,50,0,0,0,0,1,1,0,10042,2009,32.6709,-85.8872,1
1,19,1,31,19,0,2,4,0,0,2,19,9,0,0,0,0,1,7,0,10043,2009,34.1258,-85.6646,1
1,73,2,1,21,10,1,1,0,0,0,21,33,0,0,0,0,1,1,0,10044,2009,33.2778,-86.947,1
1,51,2,2,6,30,2,2,0,0,8,6,35,0,0,0,0,1,2,0,10045,2009,32.6189,-85.9518,1
1,83,2,3,12,52,1,1,0,0,0,12,57,0,0,0,0,1,3,1,10046,2009,34.8312,-87.1659,1
1,125,2,4,11,2,1,1,0,0,0,11,20,0,0,0,0,1,4,0,10047,2009,33.0753,-87.5852,1
1,15,2,4,3,40,1,1,0,0,0,3,55,0,0,0,0,1,4,1,10048,2009,33.6379,-85.903,1
1,121,2,4,15,19,1,5,0,0,0,15,24,0,0,0,0,4,4,0,10049,2009,33.4516,-86.09,1
1,53,2,5,5,49,2,3,0,0,2,6,8,0,0,0,0,1,5,0,10050,2009,31.1181,-87.4695,1
1,17,2,6,19,10,2,2,0,0,5,19,15,0,20,0,0,1,6,0,10051,2009,32.8522,-85.271,1
1,43,2,7,16,10,1,1,0,1,0,16,18,0,0,0,0,1,7,0,10052,2009,34.1828,-86.7772,1
1,95,2,7,14,40,2,2,0,0,5,15,2,0,0,0,0,1,7,1,10053,2009,34.3829,-86.4541,1
1,59,2,8,12,5,2,4,0,1,5,12,20,0,0,0,0,1,1,0,10054,2009,34.4887,-87.9409,1
1,117,2,10,0,25,1,1,0,0,0,0,49,0,0,0,0,1,3,1,10055,2009,33.3162,-86.817,1
1,51,2,11,10,45,1,1,0,0,0,11,10,0,0,0,0,1,4,0,10056,2009,32.5528,-86.292,1
1,79,2,12,22,5,1,2,1,1,0,22,50,0,0,0,0,1,5,0,10057,2009,34.5565,-87.3309,1
1,95,2,14,5,0,1,1,0,0,0,7,10,0,0,0,0,1,7,1,10058,2009,34.2326,-86.277,2
1,89,2,16,13,38,2,3,0,0,5,13,42,0,0,0,0,1,2,0,10059,2009,34.8836,-86.7171,1
1,43,2,19,19,30,1,1,0,0,0,8,57,0,18,0,0,1,5,1,10060,2009,34.2268,-86.5469,1
1,69,2,22,2,50,1,1,0,0,0,3,10,0,0,0,0,1,1,1,10061,2009,31.1526,-85.1004,1
1,21,2,23,3,45,1,1,0,1,0,4,2,0,0,0,0,1,2,0,10062,2009,32.9191,-86.6467,1
1,39,2,25,19,30,2,2,0,1,2,19,50,0,0,0,0,1,4,0,10063,2009,31.3138,-86.4098,1
1,109,2,25,0,2,1,1,0,1,0,0,9,0,0,0,0,1,4,1,10064,2009,31.9063,-86.0117,1
1,49,2,20,15,28,2,2,0,1,5,15,32,0,0,0,0,1,6,0,10065,2009,34.4444,-85.7764,1
1,95,1,6,17,16,4,7,0,1,5,17,21,0,0,0,0,1,3,0,10066,2009,34.2266,-86.1614,2
1,71,1,23,14,0,2,6,0,1,5,12,43,0,0,0,0,1,6,0,10067,2009,34.9365,-85.7581,1
1,53,1,31,2,49,1,2,0,0,0,2,55,0,0,0,0,1,7,1,10068,2009,31.0126,-87.4905,1
1,73,3,4,17,11,2,3,0,0,5,16,44,0,20,0,0,1,4,0,10069,2009,33.4411,-86.9427,1
1,81,1,26,14,51,1,1,0,0,0,88,88,0,0,0,0,1,2,0,10070,2009,32.5531,-85.5288,1
1,99,1,9,20,27,4,3,0,0,1,20,30,0,0,0,0,1,6,1,10071,2009,31.5216,-87.3343,1
1,101,1,10,20,21,1,2,1,0,0,20,24,0,0,0,0,1,7,0,10072,2009,32.3147,-86.3502,2
1,17,2,23,12,25,1,1,0,1,0,12,40,0,0,0,0,1,2,0,10073,2009,33.0988,-85.3442,1
1,125,2,24,15,5,1,1,0,0,0,15,45,0,0,0,0,1,3,0,10074,2009,33.2874,-87.183,1
1,125,2,19,16,15,2,2,0,0,2,16,25,0,0,0,0,1,5,0,10075,2009,33.1995,-87.4737,1
1,55,2,10,1,47,1,1,0,0,0,1,49,0,0,0,0,1,3,1,10076,2009,34.015,-86.0078,1
1,73,2,12,5,50,2,6,0,1,1,6,10,0,0,0,0,1,5,0,10077,2009,33.4842,-86.9189,1
1,3,2,15,2,27,1,1,0,1,0,2,31,0,0,0,0,1,1,1,10078,2009,30.3906,-87.6833,1
