STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,0,2,81,15,1,2010,6,4,10,1,32.64106389,-85.35469167,0,1,0,4,20,0,0,0,1,1
1,10002,1,0,1,35,11,1,2010,2,6,0,0,31.43044722,-86.95669444,0,1,0,6,9,0,0,0,1,0
1,10003,3,0,3,97,14,1,2010,5,15,10,0,30.69163056,-88.08577778,11,1,0,15,16,0,0,0,1,0
1,10004,2,0,2,115,21,1,2010,5,1,16,0,33.8687,-86.29116389,2,2,0,1,16,0,0,0,1,0
1,10005,2,0,2,117,4,1,2010,2,6,38,1,33.30974167,-86.78722222,7,1,0,6,49,0,0,0,1,0
1,10006,1,0,1,21,1,1,2010,6,5,34,1,32.78581389,-86.57450833,0,2,0,5,40,0,0,0,1,0
1,10007,1,0,2,97,1,1,2010,6,2,40,0,30.46146389,-88.29401944,0,2,0,3,15,0,0,0,2,0
1,10008,1,0,4,9,2,1,2010,7,15,37,0,33.99555556,-86.43900278,0,1,0,15,45,0,0,0,1,0
1,10009,1,0,2,51,2,1,2010,7,9,55,0,32.70871667,-86.14818611,0,1,0,10,10,0,0,0,1,0
1,10010,2,0,4,113,3,1,2010,1,13,50,0,32.25259444,-85.00338333,6,1,0,14,36,0,0,0,1,1
1,10011,1,0,1,95,4,1,2010,2,5,50,0,34.32906111,-86.16592222,0,1,0,6,4,0,0,0,1,0
1,10012,1,0,3,91,4,1,2010,2,16,20,0,31.9941,-87.86773056,0,1,0,16,51,0,0,0,1,1
1,10013,1,0,3,125,5,1,2010,3,23,30,0,33.06655,-87.53685278,0,1,0,23,53,0,0,0,1,1
1,10014,2,0,2,9,6,1,2010,4,17,1,0,33.88872778,-86.76163056,2,1,0,5,8,0,0,0,1,0
1,10015,1,0,1,47,6,1,2010,4,15,21,0,32.58800833,-86.92938056,0,1,0,15,45,0,0,0,1,0
1,10016,2,0,2,127,7,1,2010,5,9,5,0,33.69823889,-87.25543611,2,1,0,9,20,0,0,0,1,0
1,10017,1,0,4,19,7,1,2010,5,15,0,0,34.23519444,-85.79175278,0,4,0,15,39,0,0,0,1,0
1,10018,2,0,3,99,7,1,2010,5,13,30,1,31.50969444,-87.48523611,6,2,0,14,0,0,0,0,2,0
1,10019,1,0,2,101,10,1,2010,1,4,37,1,32.03341944,-86.03257222,0,1,0,5,12,0,0,0,1,1
1,10020,2,0,3,43,7,1,2010,5,16,49,1,34.20842222,-87.05831944,6,4,0,17,15,0,0,0,1,0
1,10021,2,0,3,95,7,1,2010,5,16,34,0,34.21050556,-86.28487222,6,1,0,16,56,0,0,0,1,0
1,10022,1,1,1,55,11,1,2010,2,6,28,0,34.07256944,-85.9192,0,1,0,6,39,0,0,0,1,0
1,10023,2,0,2,103,11,1,2010,2,13,4,1,34.54016667,-86.91805833,6,1,0,13,8,0,0,0,1,0
1,10024,2,1,2,49,12,1,2010,3,15,5,0,34.25094722,-86.10614167,0,1,0,15,21,0,0,0,1,0
1,10025,1,0,1,97,13,1,2010,4,3,30,0,30.46113611,-88.25905833,0,1,0,88,88,0,0,0,1,0
1,10026,1,0,1,101,14,1,2010,5,0,1,1,32.12425278,-86.27341389,0,1,0,88,88,0,0,0,1,0
1,10027,1,0,1,109,16,1,2010,7,5,0,0,31.66762778,-85.83286667,0,2,0,6,45,0,0,0,1,0
1,10028,2,0,5,43,15,1,2010,6,14,45,0,34.18200556,-86.64188056,6,1,0,15,12,0,0,0,1,0
1,10029,1,0,2,43,17,1,2010,1,21,35,0,34.23168333,-86.61481667,0,5,0,21,55,0,0,0,2,0
1,10030,1,0,8,85,18,1,2010,2,17,40,0,32.17258889,-86.67206944,0,1,0,17,50,0,0,0,1,1
1,10031,1,0,1,127,21,1,2010,5,22,30,0,33.77533611,-87.46370278,0,1,0,88,88,0,0,0,1,1
1,10032,1,0,1,115,22,1,2010,6,5,40,0,33.70572222,-86.40302222,0,1,0,5,57,0,0,0,1,0
1,10033,1,0,2,53,23,1,2010,7,15,45,0,31.00506667,-87.58129167,0,1,0,16,10,0,0,0,1,0
1,10034,2,0,2,29,28,1,2010,5,12,25,1,33.628725,-85.55716667,6,1,0,12,40,0,0,0,1,0
1,10035,1,0,1,73,30,1,2010,7,15,25,1,33.53526944,-86.69771944,0,2,0,15,32,0,0,0,1,0
1,10036,3,1,3,131,5,1,2010,3,5,55,0,32.00395556,-87.31188056,1,1,0,6,1,0,0,0,1,0
1,10037,1,0,2,95,10,1,2010,1,21,55,0,34.25121389,-86.25799167,0,1,0,22,15,0,0,0,1,1
1,10038,2,0,3,35,14,1,2010,5,12,40,1,31.42496389,-87.13844722,6,1,0,13,30,0,0,0,1,0
1,10039,1,0,1,81,15,1,2010,6,21,50,0,32.47539167,-85.36676389,0,1,0,22,15,0,0,0,1,1
1,10040,2,0,2,113,16,1,2010,7,13,35,1,32.45680833,-85.18741111,6,2,0,13,52,0,0,0,1,0
1,10041,1,0,4,97,17,1,2010,1,1,20,0,30.775875,-88.18546667,0,1,0,1,22,0,0,0,1,1
1,10042,2,0,3,127,18,1,2010,2,14,15,0,33.87975833,-87.16157778,6,1,0,14,30,0,0,0,3,0
1,10043,2,0,3,105,20,1,2010,4,18,35,1,32.58449167,-87.34401111,2,2,0,19,0,0,0,0,1,1
1,10044,1,0,3,97,23,1,2010,7,17,40,0,30.76025833,-88.15321944,0,1,0,17,55,0,0,0,1,1
1,10045,1,0,1,51,24,1,2010,1,5,0,1,32.6189,-86.22354722,0,1,0,99,99,0,0,0,1,1
1,10046,1,0,1,123,24,1,2010,1,17,30,0,32.82171389,-85.59425833,0,2,0,11,9,18,0,0,1,1
1,10047,2,0,3,89,25,1,2010,2,7,35,0,34.72885556,-86.48895556,2,1,0,7,50,0,0,0,1,0
