VEH_NO,PER_NO,AGE,SEX,REST_USE,ST_CASE,BODY_TYP
1,1,59,1,5,10001,80
1,1,17,2,3,10002,15
1,1,38,2,0,10003,2
2,1,41,1,3,10003,66
1,1,88,1,3,10004,30
1,2,90,2,3,10004,30
2,1,26,1,3,10004,50
2,2,99,9,99,10004,50
1,1,21,1,3,10005,31
1,2,18,1,3,10005,31
1,3,99,9,2,10005,31
2,1,21,1,0,10005,4
1,1,71,1,0,10006,4
2,1,57,1,0,10006,31
3,1,19,1,3,10006,2
1,1,56,1,0,10007,30
2,1,45,1,3,10007,66
1,1,50,1,5,10008,80
1,1,22,2,0,10009,4
2,1,22,2,3,10009,4
2,2,18,2,0,10009,4
3,1,39,2,3,10009,31
4,1,44,2,3,10009,2
1,1,43,2,0,10010,31
1,1,29,2,0,10011,2
1,2,28,2,0,10011,2
1,3,29,1,0,10011,2
1,1,41,2,3,10012,2
0,1,37,1,0,10013,
1,1,37,1,3,10013,31
2,1,48,1,3,10013,31
1,1,41,1,0,10014,2
1,1,26,1,0,10015,30
1,1,20,1,3,10016,14
0,1,47,1,0,10017,
1,1,57,1,3,10017,31
0,1,13,1,0,10018,
1,1,28,1,5,10018,80
1,2,27,2,5,10018,80
1,1,18,1,99,10019,30
1,2,18,2,0,10019,30
1,1,37,2,3,10020,31
1,2,14,2,3,10020,31
1,3,11,1,3,10020,31
2,1,54,1,3,10020,31
1,1,41,1,0,10021,4
1,1,30,2,3,10022,4
2,1,33,1,5,10022,80
3,1,57,1,5,10022,80
4,1,47,1,5,10022,80
5,1,20,1,3,10022,66
1,1,83,1,3,10023,30
1,2,67,2,3,10023,30
2,1,37,2,3,10023,4
1,1,18,1,3,10024,4
1,2,99,9,3,10024,4
1,1,56,1,0,10025,4
2,1,49,2,3,10025,14
2,2,42,1,0,10025,14
1,1,27,1,3,10026,2
0,1,50,1,0,10027,
1,1,65,1,3,10027,4
1,1,19,1,0,10028,31
2,1,16,2,0,10028,4
2,2,14,2,0,10028,4
2,3,14,2,0,10028,4
1,1,55,2,0,10029,4
2,1,24,1,0,10029,30
1,1,76,1,0,10030,31
1,1,22,2,3,10031,4
1,2,28,1,0,10031,4
1,3,3,2,0,10031,4
2,1,21,1,3,10031,14
1,1,44,1,0,10032,20
1,1,20,1,0,10033,4
1,1,19,1,0,10034,14
1,1,26,2,0,10035,14
1,2,29,1,0,10035,14
1,3,4,1,4,10035,14
1,4,4,1,4,10035,14
1,1,49,1,5,10036,80
2,1,36,1,3,10036,66
1,1,76,2,3,10037,4
1,2,82,1,3,10037,4
2,1,66,2,3,10037,4
1,1,16,2,3,10038,4
2,1,74,1,3,10038,4
2,2,52,2,3,10038,4
1,1,81,1,3,10039,30
2,1,23,1,3,10039,31
2,2,99,9,0,10039,31
2,3,99,9,3,10039,31
2,4,99,9,3,10039,31
2,5,99,9,3,10039,31
1,1,49,2,3,10040,4
2,1,60,1,3,10040,66
0,1,41,1,0,10041,
1,1,99,9,99,10041,99
1,1,87,1,3,10042,4
1,2,88,2,3,10042,4
2,1,59,1,3,10042,4
1,1,58,1,5,10043,80
1,1,30,1,3,10044,31
1,2,47,1,3,10044,31
2,1,99,9,99,10044,99
1,1,31,2,0,10045,2
1,2,17,2,0,10045,2
1,1,16,1,0,10046,2
1,2,16,1,0,10046,2
1,1,20,1,3,10047,3
1,2,18,1,3,10047,3
1,3,19,1,0,10047,3
1,4,19,1,0,10047,3
1,1,47,2,0,10048,15
1,1,27,2,99,10049,14
2,1,56,1,3,10049,66
1,1,57,1,3,10050,31
1,1,38,1,0,10051,21
2,1,57,2,3,10051,4
1,1,31,2,0,10052,14
1,2,6,1,3,10052,14
1,1,53,2,3,10053,14
1,1,22,1,0,10054,2
1,1,49,2,0,10055,14
2,1,80,1,3,10055,20
1,1,44,1,0,10056,30
1,1,66,1,99,10057,30
2,1,51,1,3,10057,66
1,1,29,1,99,10058,4
2,1,39,1,2,10058,63
2,2,99,9,2,10058,63
3,1,25,1,3,10058,4
3,2,18,1,3,10058,4
3,3,99,9,2,10058,4
1,1,22,1,0,10059,2
1,2,21,1,0,10059,2
1,3,22,1,0,10059,2
1,1,46,2,3,10060,14
2,1,80,1,3,10060,4
2,2,76,2,3,10060,4
1,1,35,2,0,10061,4
0,1,19,1,0,10062,
1,1,99,9,99,10062,99
1,1,88,1,3,10063,4
1,2,80,2,3,10063,4
2,1,41,1,3,10063,66
1,1,38,1,0,10064,4
1,1,32,1,0,10065,31
1,2,18,2,0,10065,31
1,3,20,1,0,10065,31
1,1,70,1,99,10066,30
1,1,49,2,0,10067,14
1,1,41,2,3,10068,15
0,1,44,1,0,10069,
1,1,57,2,3,10069,14
1,2,99,9,3,10069,14
1,1,24,2,3,10070,14
1,2,23,2,3,10070,14
1,3,4,2,0,10070,14
1,4,0,2,14,10070,14
1,1,44,2,0,10071,4
2,1,57,2,0,10071,4
2,2,8,2,3,10071,4
1,1,53,1,0,10072,4
1,2,45,1,0,10072,4
2,1,28,2,3,10072,4
1,1,17,2,3,10073,14
2,1,26,1,0,10073,14
2,2,31,1,0,10073,14
2,3,41,1,0,10073,14
2,4,26,1,0,10073,14
1,1,55,2,3,10074,4
1,2,48,2,3,10074,4
2,1,29,1,3,10074,66
1,1,52,1,0,10075,15
1,1,21,1,0,10076,30
1,2,21,2,0,10076,30
2,1,39,1,0,10076,31
2,2,44,1,0,10076,31
1,1,20,1,0,10077,4
1,2,18,1,0,10077,4
1,3,20,1,0,10077,4
1,4,18,1,0,10077,4
1,1,42,1,0,10078,21
1,2,34,2,0,10078,21
2,1,82,1,3,10078,30
1,1,21,2,0,10079,15
1,1,21,2,0,10080,4
2,1,40,2,3,10080,4
2,2,45,1,3,10080,4
1,1,76,1,0,10081,4
1,1,45,1,3,10082,4
1,1,85,2,0,10083,20
2,1,39,2,3,10083,4
0,1,47,1,0,10084,
1,1,31,2,3,10084,14
1,1,41,2,3,10085,4
2,1,22,2,3,10085,4
3,1,41,1,3,10085,31
1,1,45,1,3,10086,30
1,1,46,1,3,10087,30
1,1,39,2,0,10088,4
2,1,55,1,3,10088,4
0,1,53,1,0,10089,
1,1,41,1,3,10089,2
1,1,27,1,5,10090,80
0,1,80,2,0,10091,
1,1,65,1,3,10091,66
1,1,58,1,0,10092,4
1,1,33,1,0,10093,14
2,1,49,2,3,10093,97
2,2,99,9,3,10093,97
1,1,40,2,0,10094,3
1,1,49,1,3,10095,14
1,2,36,2,3,10095,14
2,1,35,1,3,10095,66
2,2,99,9,99,10095,66
2,3,99,9,99,10095,66
2,4,99,9,99,10095,66
1,1,39,1,0,10096,14
1,1,35,1,0,10097,97
1,1,24,1,3,10098,66
2,1,44,1,0,10098,30
1,1,61,1,0,10099,4
2,1,25,1,3,10099,4
1,1,54,1,1,10100,63
1,2,39,1,0,10100,63
1,1,50,1,0,10101,31
1,1,26,2,3,10102,4
2,1,20,1,3,10102,4
3,1,58,2,3,10102,50
1,1,83,1,0,10103,30
2,1,67,1,3,10103,31
1,1,18,1,3,10104,2
1,2,17,1,3,10104,2
1,3,19,1,0,10104,2
1,4,99,9,0,10104,2
1,1,34,2,3,10105,2
2,1,29,1,0,10105,4
2,2,25,1,0,10105,4
2,3,19,1,0,10105,4
1,1,38,2,0,10106,30
1,1,32,1,5,10107,80
1,1,40,1,0,10108,3
1,1,48,1,0,10109,63
1,1,23,1,5,10110,80
2,1,24,1,3,10110,14
2,2,99,9,3,10110,14
2,3,99,9,3,10110,14
2,4,99,9,3,10110,14
1,1,23,1,3,10111,4
1,1,24,1,0,10112,30
1,1,22,2,3,10113,14
1,2,99,9,3,10113,14
1,3,99,9,0,10113,14
1,4,18,2,0,10113,14
1,5,20,2,0,10113,14
1,1,37,1,0,10114,15
1,1,31,2,0,10115,4
1,1,34,1,3,10116,15
1,2,35,1,3,10116,15
1,1,19,1,0,10117,14
1,2,18,2,0,10117,14
1,3,21,1,0,10117,14
2,1,53,1,3,10117,62
1,1,23,2,99,10118,4
1,1,36,2,3,10119,4
2,1,33,2,3,10119,4
0,1,13,1,0,10120,
1,1,17,2,0,10120,2
1,1,22,1,0,10121,31
1,2,20,1,0,10121,31
0,1,3,1,0,10122,
1,1,22,2,0,10122,4
1,1,56,1,3,10123,30
1,1,82,1,3,10124,30
1,1,26,1,0,10125,4
1,2,27,1,0,10125,4
2,1,36,1,3,10125,16
1,1,44,1,3,10126,30
2,1,20,1,3,10126,4
2,2,25,1,0,10126,4
1,1,45,1,0,10127,2
1,1,33,1,3,10128,3
1,2,99,9,99,10128,3
1,3,99,9,99,10128,3
1,1,38,2,3,10129,4
1,2,52,1,3,10129,4
2,1,38,1,3,10129,31
2,2,8,1,3,10129,31
1,1,46,1,3,10130,4
1,1,83,1,3,10131,4
2,1,59,2,0,10131,14
1,1,30,1,0,10132,14
1,2,28,1,0,10132,14
1,3,28,1,0,10132,14
1,1,40,2,3,10133,31
2,1,27,2,3,10133,4
2,2,1,1,4,10133,4
2,3,4,1,3,10133,4
1,1,49,1,0,10134,63
1,1,22,1,0,10135,4
1,1,16,2,3,10136,14
1,2,16,2,3,10136,14
1,1,54,2,3,10137,1
1,2,42,1,0,10137,1
1,1,17,1,3,10138,4
1,2,18,2,3,10138,4
2,1,25,2,0,10138,2
2,2,5,1,0,10138,2
2,3,99,9,0,10138,2
2,4,5,1,0,10138,2
1,1,53,1,3,10139,4
2,1,58,1,3,10139,66
1,1,73,1,0,10140,30
2,1,31,1,3,10140,30
3,1,49,1,3,10140,6
4,1,24,2,3,10140,2
1,1,30,1,3,10141,4
2,1,20,1,3,10141,31
3,1,55,2,3,10141,20
3,2,99,9,3,10141,20
1,1,21,2,3,10142,1
1,2,1,2,4,10142,1
2,1,44,1,3,10142,66
1,1,18,2,3,10143,4
2,1,65,2,2,10143,50
1,1,21,1,5,10144,80
1,2,19,1,0,10144,80
1,1,17,1,0,10145,4
1,2,14,1,0,10145,4
1,3,16,1,0,10145,4
1,4,15,1,0,10145,4
1,5,15,1,0,10145,4
1,1,14,2,0,10146,97
1,2,13,1,0,10146,97
1,3,99,9,0,10146,97
1,1,26,1,3,10147,31
1,2,0,2,14,10147,31
1,3,23,2,3,10147,31
1,4,16,2,3,10147,31
2,1,22,2,3,10147,14
2,2,21,1,3,10147,14
1,1,38,2,0,10148,4
2,1,24,2,3,10148,2
1,1,22,1,3,10149,14
1,2,22,2,0,10149,14
1,3,23,1,0,10149,14
1,1,23,1,0,10150,14
1,1,19,1,3,10151,30
2,1,69,2,3,10151,2
1,1,45,1,5,10152,80
1,1,33,1,0,10153,4
1,1,17,1,0,10154,4
1,1,27,2,3,10155,4
1,2,23,2,3,10155,4
1,3,5,2,3,10155,4
1,4,26,2,0,10155,4
1,5,5,1,4,10155,4
2,1,69,2,3,10155,4
3,1,64,2,3,10155,4
3,2,99,9,3,10155,4
1,1,36,2,3,10156,4
2,1,32,1,3,10156,66
2,2,99,9,3,10156,66
1,1,42,1,0,10157,66
1,1,25,1,0,10158,4
1,1,60,2,3,10159,20
1,1,60,1,3,10160,66
2,1,61,2,3,10160,20
1,1,17,1,0,10161,31
1,1,17,1,0,10162,4
1,2,25,1,0,10162,4
1,1,21,1,5,10163,80
2,1,30,1,3,10163,31
1,1,59,1,3,10164,66
2,1,57,1,0,10164,66
1,1,27,1,0,10165,20
1,1,46,1,3,10166,66
2,1,59,1,0,10166,30
1,1,38,1,0,10167,31
2,1,57,1,3,10167,30
0,1,62,1,0,10168,
1,1,41,1,3,10168,66
1,1,17,1,3,10169,4
1,2,15,2,3,10169,4
2,1,65,2,3,10169,4
1,1,53,1,5,10170,80
1,1,17,1,0,10171,15
1,2,17,1,0,10171,15
1,3,17,1,3,10171,15
2,1,31,1,3,10171,66
1,1,25,1,0,10172,31
2,1,20,1,0,10172,31
2,2,41,1,0,10172,31
1,1,30,2,3,10173,4
2,1,55,1,3,10173,14
2,2,12,1,3,10173,14
2,3,6,1,3,10173,14
2,4,9,2,3,10173,14
3,1,45,1,3,10173,31
1,1,52,1,99,10174,16
2,1,44,2,0,10174,14
2,2,58,1,0,10174,14
1,1,17,2,3,10175,30
1,1,61,1,0,10176,4
2,1,34,1,3,10176,15
2,2,30,2,3,10176,15
1,1,22,1,0,10177,2
1,2,44,1,0,10177,2
1,3,30,1,0,10177,2
2,1,18,1,3,10177,31
2,2,17,2,3,10177,31
1,1,22,1,0,10178,4
1,2,21,1,0,10178,4
1,3,20,2,0,10178,4
1,4,21,1,0,10178,4
0,1,46,1,0,10179,
1,1,21,1,3,10179,4
1,1,26,1,3,10180,2
1,2,24,1,3,10180,2
2,1,60,1,13,10180,66
3,1,41,1,3,10180,4
3,2,50,1,3,10180,4
1,1,41,2,0,10182,30
1,2,5,1,3,10182,30
1,1,34,1,0,10183,14
1,1,22,2,3,10184,4
1,2,0,1,14,10184,4
1,1,75,2,0,10185,1
2,1,47,1,3,10185,31
1,1,19,2,3,10186,31
1,1,36,1,0,10187,31
1,2,99,9,3,10187,31
1,1,36,1,0,10188,2
1,1,31,1,5,10189,80
2,1,20,2,3,10189,4
1,1,20,1,0,10190,30
1,1,46,1,3,10191,14
1,2,36,1,3,10191,14
2,1,60,1,3,10191,66
1,1,21,1,5,10192,80
2,1,47,1,3,10192,20
2,2,99,9,3,10192,20
1,1,42,2,0,10193,2
2,1,42,1,0,10193,21
3,1,28,1,0,10193,31
1,1,27,1,3,10194,14
1,1,65,2,0,10195,4
1,2,75,1,0,10195,4
1,1,32,1,0,10196,30
2,1,55,1,3,10196,66
