REG_STAT,DEATHS,ST_CASE,WGTCD_TR,L_STATE,L_TYPE,L_STATUS,PREV_ACC,PREV_OTH
1,1,10001,,1,0,0,99,99
1,1,10002,,1,2,6,0,0
1,1,10003,,1,1,6,0,0
13,0,10003,8,13,1,6,98,0
1,1,10004,1,1,1,6,0,0
1,0,10004,9,1,1,6,0,0
28,0,10005,2,28,1,6,0,0
1,1,10005,,1,1,6,0,1
1,1,10006,,1,1,6,0,0
1,0,10006,2,1,1,6,0,0
1,0,10006,,1,1,6,1,1
1,1,10007,1,1,1,6,0,0
45,0,10007,8,45,1,6,1,0
1,1,10008,,1,1,1,0,0
13,0,10009,,13,1,6,98,0
1,2,10009,,1,1,6,0,1
1,0,10009,2,13,1,6,98,1
13,0,10009,,13,1,6,98,0
1,1,10010,1,1,0,0,99,99
1,1,10011,,1,1,1,2,1
1,1,10012,,1,1,6,0,0
1,0,10013,2,1,1,1,1,3
1,0,10013,2,1,1,6,1,0
1,1,10014,,1,1,2,0,0
1,1,10015,1,1,1,1,0,0
1,1,10016,,1,1,6,0,0
1,0,10017,2,1,1,6,1,0
1,0,10018,,1,1,6,0,1
1,1,10019,1,1,1,6,1,1
1,1,10020,2,1,1,3,0,0
1,0,10020,2,1,1,6,0,0
1,1,10021,,1,1,6,0,1
1,0,10022,,1,1,6,0,0
1,1,10022,,1,1,6,0,0
1,0,10022,,1,1,6,0,0
1,0,10022,,1,1,6,0,0
93,0,10022,8,13,1,6,98,1
1,1,10023,1,1,1,6,0,0
1,0,10023,,1,1,6,0,1
1,1,10024,,1,1,6,0,0
1,1,10025,,1,1,6,0,0
1,0,10025,1,1,1,6,0,0
1,1,10026,,1,1,6,0,0
1,0,10027,,1,1,6,0,0
1,0,10028,2,1,1,6,0,1
1,2,10028,,1,2,6,0,0
1,1,10029,,1,1,6,0,0
1,0,10029,1,1,1,2,0,0
1,1,10030,1,1,1,6,0,0
1,1,10031,,1,1,6,0,0
1,0,10031,,97,1,6,99,99
1,1,10032,,1,1,6,0,0
1,1,10033,,1,1,6,1,0
1,1,10034,,1,1,6,0,1
1,1,10035,,1,1,1,2,0
28,1,10036,,28,1,6,0,0
